,INPC,Subyacente,Mercancìas,Servicios,No subyacente,Agropecuarios,Energéticos
1Q Ene 2000,0.747003009,0.747592277,0.711889561,0.790362058,0.745115754,0.477436587,0.981921595
2Q Ene 2000,0.542245106,0.688547441,0.593808744,0.80195054,0.121000302,-1.170325712,1.257681446
1Q Feb 2000,0.488989621,0.561754097,0.573184995,0.548099459,0.27867681,-0.310583541,0.784931852
2Q Feb 2000,0.250754485,0.383536417,0.402138268,0.361310264,-0.134584576,-0.540883262,0.210687142
1Q Mar 2000,0.318113758,0.310911735,0.36529584,0.245905233,0.33861614,-0.342704934,0.913258939
2Q Mar 2000,0.220964824,0.286283292,0.298668949,0.271460815,0.028792312,-0.01228612,0.063007652
1Q Abr 2000,0.340309858,0.296449903,0.256954923,0.343728161,0.470565084,0.48736815,0.456579886
2Q Abr 2000,0.234461516,0.170490162,0.146187669,0.199556791,0.421157817,0.865813349,0.050957421
1Q May 2000,0.158236182,0.265520184,0.310076114,0.212258121,-0.154247931,0.777061368,-0.935929487
2Q May 2000,0.196076484,0.17243693,0.153493914,0.195103474,0.265054547,0.549319057,0.022335371
1Q Jun 2000,0.376741441,0.185045001,0.130475952,0.250313281,0.936762612,1.300552383,0.624504252
2Q Jun 2000,0.233454415,0.128322209,0.029991422,0.245791905,0.538764852,1.081415644,0.069852048
1Q Jul 2000,0.206893825,0.164280538,0.103947232,0.236201838,0.330204671,-0.097741981,0.703737984
2Q Jul 2000,0.131977868,0.20732488,0.202795708,0.212716829,-0.086299138,-0.309960071,0.107369613
1Q Ago 2000,0.25990418,0.222286923,0.221027339,0.223786301,0.369002378,-0.499562937,1.117960651
2Q Ago 2000,0.445801168,0.183264207,0.14129712,0.233219427,1.204386805,2.449791367,0.147661082
1Q Sep 2000,0.449646664,0.561569048,0.171756285,1.025154332,0.129196627,-0.983459105,1.094987072
2Q Sep 2000,0.114121547,0.231763619,0.206102805,0.262022983,-0.223276149,-0.579253578,0.079361314
1Q Oct 2000,0.440113239,0.289798375,0.119571172,0.490419205,0.873847323,0.297640268,1.360491229
2Q Oct 2000,0.380529046,0.232981346,0.257858537,0.203770595,0.802593178,1.559856744,0.169741715
1Q Nov 2000,0.541423085,0.375967714,0.325549244,0.435200943,1.013360852,-0.859767217,2.600473396
2Q Nov 2000,0.243847079,0.28445907,0.314181535,0.249578293,0.128940209,0.239250659,0.03862571
1Q Dic 2000,0.719562726,0.333035221,0.236343738,0.446580566,1.816464454,3.042663501,0.810524888
2Q Dic 2000,0.476479134,0.174684859,0.126556243,0.231084268,1.319731459,2.514217934,0.318110616
1Q Ene 2001,0.283347192,0.466864442,0.518225368,0.406740025,-0.223522052,-1.301497197,0.700187899
2Q Ene 2001,0.065020797,0.37544649,0.37291661,0.378411322,-0.798702317,-2.31243803,0.472624525
1Q Feb 2001,-0.131139453,0.415174553,0.438525501,0.387810481,-1.670559376,-4.639739429,0.754013361
2Q Feb 2001,0.065064939,0.299889564,0.261121479,0.345343332,-0.610065343,-1.563326357,0.12667693
1Q Mar 2001,0.339294854,0.323534334,0.223697947,0.440489588,0.385697774,0.189756106,0.534578228
2Q Mar 2001,0.521066373,0.248599852,0.251321412,0.245418511,1.310828203,4.072737835,-0.780528961
1Q Abr 2001,0.148858247,0.265233899,0.238857276,0.296068422,-0.185098365,-0.332535318,-0.067996136
2Q Abr 2001,0.189891772,0.183309635,0.186122225,0.180023566,0.20899471,0.781432227,-0.244461882
1Q May 2001,0.023655378,0.187525263,0.145613292,0.23649579,-0.448544375,-0.009627147,-0.799808476
2Q May 2001,0.221895889,0.162348256,0.123855376,0.207283092,0.394818257,1.404482718,-0.419649484
1Q Jun 2001,0.106915041,0.169669135,0.19219472,0.143395685,-0.07547556,-0.526688794,0.295172858
2Q Jun 2001,0.03724915,0.139765201,0.078653942,0.211079042,-0.259353208,-0.723142724,0.11850407
1Q Jul 2001,-0.357809408,0.078761119,-0.012751454,0.185410682,-1.630012851,-1.167992059,-2.003264774
2Q Jul 2001,0.159694997,0.011159974,-0.21365687,0.272645284,0.599752877,1.300273832,0.029000568
1Q Ago 2001,0.345114131,0.309713298,0.398466163,0.206985148,0.45007995,1.938682353,-0.778179038
2Q Ago 2001,0.332597757,0.036135366,-0.226187353,0.340344377,1.20423376,2.705279893,-0.068205609
1Q Sep 2001,0.673993863,0.632273303,0.179851667,1.153972916,0.795990791,0.369011404,1.16798746
2Q Sep 2001,0.178297838,0.21142662,0.309381845,0.099559567,0.081816717,0.314250537,-0.119087011
1Q Oct 2001,0.249173739,0.089339652,0.01258248,0.177181799,0.713534099,0.416662916,0.97124741
2Q Oct 2001,0.226218465,0.113811849,0.05249002,0.183874232,0.550679918,1.171463417,0.014738853
1Q Nov 2001,0.277706406,0.120599297,0.119690466,0.121636308,0.729998354,-0.905216256,2.158055727
2Q Nov 2001,-0.028777104,0.122682555,0.064058888,0.189573054,-0.461978634,-1.004114255,-0.002720332
1Q Dic 2001,0.155038442,0.145077307,0.110925629,0.183996074,0.183769182,0.640998759,-0.199684003
2Q Dic 2001,-0.00426783,0.065951555,-0.102571361,0.257857807,-0.205875549,-0.720535606,0.229377196
1Q Ene 2002,0.728209103,0.316931017,0.187809755,0.46343985,1.913003934,2.43725111,1.473845177
2Q Ene 2002,0.391842645,0.296600379,0.134141964,0.480429835,0.662627823,1.316961367,0.109292454
1Q Feb 2002,-0.2608657,0.429872863,0.373006034,0.493998634,-2.213596373,-6.657700692,1.589884664
2Q Feb 2002,0.002821105,0.256256179,0.196808508,0.323211522,-0.732900954,-3.203510006,1.209903391
1Q Mar 2002,0.289471816,0.201847304,0.153919888,0.255759479,0.545732122,0.256115764,0.763545587
2Q Mar 2002,0.440268953,0.153600936,0.024847382,0.298284999,1.278080271,2.944519771,0.031102757
1Q Abr 2002,0.450873831,0.235874842,0.203791676,0.271829327,1.071638803,1.537423235,0.712946369
2Q Abr 2002,-0.248928589,0.087309843,-0.013047057,0.19970001,-1.211904718,-2.893912345,0.093983621
1Q May 2002,0.27337741,0.093407032,0.04515796,0.14732667,0.795841539,2.287262952,-0.327513247
2Q May 2002,0.108161097,0.095586071,0.046510472,0.150373424,0.145277115,0.316887321,0.012627515
1Q Jun 2002,0.350307215,0.064051528,-0.029440624,0.168316692,1.174389311,1.913527234,0.601319505
2Q Jun 2002,0.165662988,0.029177519,-0.1084588,0.182370502,0.554822231,1.260334769,0.000688058
1Q Jul 2002,0.13,0.075681301,-0.033857749,0.17285422,0.33103722,1.161647244,-0.184088853
2Q Jul 2002,0.148806551,0.088200637,0.006382645,0.16063222,0.376056379,0.87632132,0.06162016
1Q Ago 2002,0.247310005,0.222832873,0.187173666,0.25435253,0.339624448,0.194486702,0.431591998
2Q Ago 2002,0.116386642,0.139431689,-0.027543536,0.286924464,0.030169382,0.013382487,0.040781393
1Q Sep 2002,0.4938198,0.526502791,0.043907587,0.951452722,0.375118728,-0.542310448,0.954922771
2Q Sep 2002,0.095905716,0.123233562,0.087785485,0.15416681,-0.007975119,-0.227496211,0.128701992
1Q Oct 2002,0.338805587,0.11459519,0.198724148,0.04122994,1.173671962,0.061743599,1.863512423
2Q Oct 2002,0.109272403,0.11370473,0.115936147,0.111755743,0.096086578,0.265703812,-0.00728265
1Q Nov 2002,0.609684144,0.080176305,0.035827684,0.118913335,2.567706591,1.120593054,3.452023489
2Q Nov 2002,0.284424114,0.111297885,0.098984477,0.122044308,0.908926247,2.494726776,-0.038301679
1Q Dic 2002,0.226114246,0.091105721,0.074908155,0.105238755,0.708411995,2.058438411,-0.118417758
2Q Dic 2002,0.134195556,0.122487883,-0.033111874,0.258213839,0.174958628,0.411699021,0.02680588
1Q Ene 2003,0.316587843,0.248908243,0.186743244,0.302975725,0.55671229,-0.72144634,1.359665066
2Q Ene 2003,0.04065867,0.268527529,0.20128712,0.326941536,-0.766622809,-2.259842109,0.152173239
1Q Feb 2003,0.149021202,0.258636553,0.258163771,0.25904676,-0.243278187,-0.952533777,0.182625081
2Q Feb 2003,0.216435577,0.205521395,0.153720137,0.250466133,0.25396213,0.225781024,0.270692962
1Q Mar 2003,0.394334693,0.210067061,0.236008965,0.187580601,1.060080086,2.207412769,0.379226184
2Q Mar 2003,0.255454825,0.186165908,0.12882828,0.235890226,0.50161349,1.163694347,0.101563605
1Q Abr 2003,0.011494914,0.190654791,0.092932701,0.275310791,-0.627338882,-1.291004724,-0.222076395
2Q Abr 2003,0.063214758,0.109458185,0.025956253,0.18166379,-0.099083776,-0.3211894,0.035090352
1Q May 2003,-0.412550731,0.135334809,0.126148523,0.143266007,-2.380587856,-0.408899829,-3.567443509
2Q May 2003,0.116300305,0.150053325,0.134359484,0.16360066,-0.008554904,0.175676657,-0.123085267
1Q Jun 2003,-0.020160903,0.026092889,-0.037186862,0.080701683,-0.191498099,-0.626071323,0.079469082
2Q Jun 2003,0.090262241,0.015535635,-0.136026833,0.146176069,0.3671135,0.717186667,0.15037304
1Q Jul 2003,0.085383988,0.076893451,-0.015923501,0.156672292,0.113494794,0.380809118,-0.052943959
2Q Jul 2003,0.029715118,0.101980193,-0.0330538,0.217845785,-0.235911155,-0.624012073,0.006782003
1Q Ago 2003,0.181112549,0.274622638,0.207825937,0.331793895,-0.162051063,-0.70367888,0.17451153
2Q Ago 2003,0.205655035,0.064461065,0.033555763,0.090880212,0.72846265,1.096680334,0.501661393
1Q Sep 2003,0.473467673,0.402419902,0.089621364,0.669660052,0.734101207,1.272373875,0.400592802
2Q Sep 2003,0.037052872,0.088734261,0.100407,0.07881909,-0.149519389,-0.29016936,-0.061617374
