,INPC,Subyacente,Nosubyacente,,,,,
1Q Ene 2021,0.513833269,0.235541101,1.370309715,,,,,
2Q Ene 2021,0.498471838,0.169753666,1.499795539,,,,,
1Q Feb 2021,0.228087325,0.218636025,0.255594829,,,,,
2Q Feb 2021,0.309745701,0.18032423,0.699429738,,,,,
1Q Mar 2021,0.530253243,0.345866823,1.079975516,,,,,
2Q Mar 2021,0.280295161,0.20431243,0.507670689,,,,,
1Q Abr 2021,0.063403613,0.180584793,-0.283666769,,,,,
2Q Abr 2021,0.246314211,0.169419445,0.474528074,,,,,
1Q May 2021,-0.00623175,0.329032989,-0.999983411,,,,,
2Q May 2021,0.174499871,0.221583963,0.034512341,,,,,
1Q Jun 2021,0.343059271,0.354247445,0.308715503,,,,,
2Q Jun 2021,0.202828977,0.209372527,0.184383631,,,,,
1Q Jul 2021,0.36682813,0.306450335,0.54803959,,,,,
2Q Jul 2021,0.238667688,0.127861934,0.569183354,,,,,
1Q Ago 2021,-0.021086296,0.279524202,-0.919133527,,,,,
